vehicle_id,route,distance_km,travel_time_min
1,-1 -> 8 -> 21 -> 15 -> 4 -> 38 -> 5 -> 1 -> 31 -> 17 -> 26 -> 20 -> 13 -> 6 -> 23 -> 39 -> 2 -> 28 -> 37 -> -2,70.58,7.32
2,-1 -> 40 -> 25 -> 14 -> 35 -> 18 -> 33 -> 16 -> 10 -> 12 -> 19 -> 36 -> 7 -> 22 -> -2,82.31,8.15
3,-1 -> 3 -> 24 -> 11 -> 27 -> 30 -> 32 -> 29 -> 9 -> 34 -> -2,85.77,8.23
