vehicle_id,stop_order,node
1,0,-1
1,1,8
1,2,21
1,3,15
1,4,4
1,5,38
1,6,5
1,7,1
1,8,31
1,9,17
1,10,26
1,11,20
1,12,13
1,13,6
1,14,23
1,15,39
1,16,2
1,17,28
1,18,37
1,19,-2
2,0,-1
2,1,40
2,2,25
2,3,14
2,4,35
2,5,18
2,6,33
2,7,16
2,8,10
2,9,12
2,10,19
2,11,36
2,12,7
2,13,22
2,14,-2
3,0,-1
3,1,3
3,2,24
3,3,11
3,4,27
3,5,30
3,6,32
3,7,29
3,8,9
3,9,34
3,10,-2
