vehicle_id,lab_node_id,visit_time,ready_time,due_time,service_time,max_transport_time,delivery_time,transport_time,slack
1,2,331.96953,0,360,5,480,400.0,63.03046999999998,416.96953
1,8,360.0,0,360,5,480,400.0,35.0,445.0
1,21,352.93114,0,360,5,480,400.0,42.06885999999997,437.93114
1,25,338.51463,0,360,5,480,400.0,56.48536999999999,423.51463
2,5,286.09789,0,360,5,480,400.0,108.90211,371.09789
2,6,272.22819,0,360,5,480,400.0,122.77181000000002,357.22819
2,9,251.43419,0,360,5,480,400.0,143.56581,336.43419
2,13,264.02693,0,360,5,480,400.0,130.97307,349.02693
2,16,243.72995,0,360,5,480,400.0,151.27005,328.72995000000003
2,18,312.46367,0,360,5,480,400.0,82.53633000000002,397.46367
2,24,351.37085,0,360,5,480,400.0,43.62914999999998,436.37085
2,30,360.0,0,360,5,480,400.0,35.0,445.0
2,31,328.40133,0,360,5,480,400.0,66.59867000000003,413.40133
2,40,304.57091,0,360,5,480,400.0,90.42908999999997,389.57091
3,1,275.42949,0,360,5,480,400.0,119.57051000000001,360.42949
3,3,283.38682,0,360,5,480,400.0,111.61318,368.38682
3,4,332.23919,0,360,5,480,400.0,62.76080999999999,417.23919
3,11,240.91387,0,360,5,480,400.0,154.08613,325.91387
3,15,303.66035,0,360,5,480,400.0,91.33965,388.66035
3,17,324.7421,0,360,5,480,400.0,70.2579,409.7421
3,19,213.89944,0,360,5,480,400.0,181.10056,298.89944
3,20,291.87355,0,360,5,480,400.0,103.12644999999998,376.87355
3,27,232.87848,0,360,5,480,400.0,162.12152,317.87847999999997
3,28,255.70659,0,360,5,480,400.0,139.29341,340.70659
3,32,349.23487,0,360,5,480,400.0,45.76513,434.23487
3,33,360.0,0,360,5,480,400.0,35.0,445.0
3,35,220.57557,0,360,5,480,400.0,174.42443,305.57556999999997
3,37,263.50502,0,360,5,480,400.0,131.49498,348.50502
3,38,310.93446,0,360,5,480,400.0,84.06554,395.93446
4,10,328.02839,0,360,5,480,400.0,66.97161,413.02839
4,12,321.42506,0,360,5,480,400.0,73.57494000000003,406.42506
4,14,302.4832,0,360,5,480,400.0,92.51679999999999,387.4832
4,23,360.0,0,360,5,480,400.0,35.0,445.0
4,26,314.91624,0,360,5,480,400.0,80.08375999999998,399.91624
4,29,343.13042,0,360,5,480,400.0,51.869579999999985,428.13042
4,34,334.68849,0,360,5,480,400.0,60.31151,419.68849
4,39,350.6849,0,360,5,480,400.0,44.31509999999997,435.6849
6,7,335.95481,0,360,5,480,400.0,59.04518999999999,420.95481
6,22,348.39261,0,360,5,480,400.0,46.60739000000001,433.39261
6,36,360.0,0,360,5,480,400.0,35.0,445.0
