vehicle_id,route,distance_km,travel_time_min
1,-1 -> 29 -> 26 -> 25 -> 39 -> 28 -> 7 -> 22 -> 34 -> 10 -> 31 -> 5 -> 16 -> 3 -> 9 -> 15 -> 12 -> 36 -> 21 -> 8 -> 1 -> 4 -> 17 -> 38 -> 20 -> -2,88.86,9.0
2,-1 -> 32 -> 33 -> -2,28.99,2.43
3,-1 -> 2 -> 35 -> 23 -> 27 -> 6 -> 11 -> 30 -> 24 -> 13 -> 19 -> 14 -> 18 -> 40 -> 37 -> -2,56.92,5.9
