vehicle_id,stop_order,node,load_after_node
1,0,-1,0.0
1,1,16,1.0
1,2,38,2.0
1,3,5,4.0
1,4,9,7.0
1,5,6,8.0
1,6,13,10.0
1,7,27,12.0
1,8,24,14.0
1,9,30,16.0
1,10,11,18.0
1,11,23,20.0
1,12,14,21.0
1,13,19,22.0
1,14,35,24.0
1,15,25,26.0
1,16,39,28.0
1,17,2,29.0
1,18,-2,29.0
2,0,-1,0.0
2,1,28,2.0
2,2,29,5.0
2,3,12,7.0
2,4,26,9.0
2,5,20,12.0
2,6,3,14.0
2,7,10,15.0
2,8,21,16.0
2,9,32,18.0
2,10,33,19.0
2,11,8,21.0
2,12,4,22.0
2,13,17,23.0
2,14,15,24.0
2,15,31,25.0
2,16,1,27.0
2,17,34,30.0
2,18,22,31.0
2,19,36,33.0
2,20,7,34.0
2,21,40,37.0
2,22,18,37.0
2,23,37,40.0
2,24,-2,40.0
