vehicle_id,route,distance_km,travel_time_min
1,-1 -> 16 -> 38 -> 5 -> 9 -> 6 -> 13 -> 27 -> 24 -> 30 -> 11 -> 23 -> 14 -> 19 -> 35 -> 25 -> 39 -> 2 -> -2,64.61,6.52
2,-1 -> 28 -> 29 -> 12 -> 26 -> 20 -> 3 -> 10 -> 21 -> 32 -> 33 -> 8 -> 4 -> 17 -> 15 -> 31 -> 1 -> 34 -> 22 -> 36 -> 7 -> 40 -> 18 -> 37 -> -2,71.76,7.4
