vehicle_id,from_node,to_node,travel_time_min
1,-1,16,11.303668089899071
1,2,-2,5.1039832141247015
1,5,9,2.7734318533698343
1,6,13,3.640331883346632
1,9,6,8.434549885039006
1,11,23,6.339514742276308
1,13,27,2.8504149072720706
1,14,19,3.186217017375812
1,16,38,1.7868867434321951
1,19,35,1.767313802307552
1,23,14,3.636135507861877
1,24,30,3.62914945901944
1,25,39,0.5133375137916084
1,27,24,10.964738347100065
1,30,11,7.555268962796716
1,35,25,6.44343043452301
1,38,5,1.8560774572992684
1,39,2,1.2431104194264704
2,-1,28,3.4600721860375074
2,1,34,2.8793543528622814
2,3,10,3.453076997992464
2,4,17,2.5152870200539037
2,7,40,6.0016079128826005
2,8,4,10.380703013609033
2,10,21,5.3037277393622135
2,12,26,2.007065702529066
2,15,31,2.6636570913301783
2,17,15,8.708065758478568
2,18,37,4.095572781550347
2,20,3,3.605198693534504
2,21,32,7.305371636670683
2,22,36,6.607390344178389
2,26,20,2.1593647805133838
2,28,29,2.2564822527056325
2,29,12,1.6604874445647757
2,31,1,0.6598068582698738
2,32,33,5.765128500205263
2,33,8,5.128796479681075
2,34,22,4.923480630128622
2,36,7,4.632070554975232
2,37,-2,1.2135965028182354
2,40,18,2.8927686202188747
