vehicle_id,route,distance_km,travel_time_min
1,-1 -> 2 -> 25 -> 21 -> 8 -> -2,21.05,2.22
2,-1 -> 16 -> 9 -> 13 -> 6 -> 5 -> 40 -> 18 -> 31 -> 24 -> 30 -> -2,77.53,8.02
3,-1 -> 19 -> 35 -> 27 -> 11 -> 28 -> 37 -> 1 -> 3 -> 20 -> 15 -> 38 -> 17 -> 4 -> 32 -> 33 -> -2,75.53,7.92
4,-1 -> 14 -> 26 -> 12 -> 10 -> 34 -> 29 -> 39 -> 23 -> -2,30.04,3.43
6,-1 -> 7 -> 22 -> 36 -> -2,17.44,1.47
