,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,5845.218013282778,6797.600678863815,10039.919589747604,7579.419089016959,9223.293493885383,2261.618078164067,4256.7867195022545,13684.249476188874,14984.984924596609,5332.177630629816,6842.084687543818,7971.2316393458605
1,5694.685755417935,0.0,4369.980540463163,5450.92482334733,7025.493844206044,8669.368249074467,4062.44791384347,2272.06040259759,9095.254709788598,10530.938892927881,2234.1520475317666,7986.302848376788,7311.386160368614
2,6830.3589123702195,4043.345642780107,0.0,4128.101720612162,4799.132873736316,6443.0072786047385,6308.09400032489,3841.5649613844944,7551.876561647512,8521.788294024705,2262.1278503792946,6118.307293120427,4798.545493230859
3,11042.959432117434,6407.636112010327,4715.874409924511,0.0,8426.855646733378,9604.478437502772,9410.721590542964,7132.721422351451,4090.530376447131,5526.214559586415,6107.456765286241,10213.5573715856,8239.931774677123
4,7557.887893405566,6881.407320393607,4895.950350060244,7984.875159858892,0.0,1962.498016220374,7563.163624855304,5922.5806518760655,10461.477438145701,10633.90573464996,5228.991081418003,2172.2047354962156,391.81255032890067
5,8865.832762972525,8189.352189960565,6203.895219627203,9148.833533057774,1701.0793089886524,0.0,8871.10849442226,7230.5255214430235,11247.934682170117,11420.362978674373,6536.935950984961,3480.1496050631745,2092.8918593175526
6,4073.719591926831,3583.5999351187097,5638.2353793490565,7778.301511583541,7756.879861082791,9400.754265951215,0.0,1995.1686413381885,11422.63139802481,12858.31558116409,3396.9233577975656,8550.158277205835,8042.7721772453615
7,4259.140815525169,2509.769428193336,3803.440673021178,6261.580444364939,5922.085154754911,7565.959559623334,2626.902973950703,0.0,9905.910330806206,11341.594513945489,1562.1286514696865,6715.363570877957,6207.977470917481
8,13958.944570828362,9336.198557440866,7629.128397759479,4406.655355242035,10866.233462983584,11665.716567608973,12339.284035973507,10061.283867781987,0.0,2555.5462799320985,9036.019210716777,13038.438198479796,10679.309590927329
9,15397.278392124275,11007.882741334828,9067.462219055393,6078.339539135991,10947.813668325933,11747.296772951324,14010.968219867462,11732.96805167594,2555.5462799320985,0.0,10707.70339461073,13120.018403822147,10760.889796269677
10,5454.300950478563,1868.5070435261957,2241.312021551492,5193.788600252595,5168.701843268137,6812.57624813656,4045.9661499455933,1579.4371110052007,8838.118486693862,10273.802669833145,0.0,6474.475052586152,5383.982426570276
11,6835.4151629540875,7922.528112557124,6114.265823063445,9723.882708440136,2166.9822260272185,3810.8566308956433,7939.560824337216,6717.030596269464,12628.459664172924,12800.887960677177,6270.11187358152,0.0,2558.7947763561187
12,7949.700443734465,7083.115626968967,4837.654990441195,7797.951287802637,391.81255032890067,2354.3105665492753,7842.553630945824,6201.970657966585,10274.553566089447,10446.981862593704,5430.699387993363,2564.0172858251162,0.0
