vehicle_id,route,distance_km,travel_time_min
1,-1 -> 12 -> 26 -> 3 -> 1 -> 31 -> 20 -> -2,21.85,2.7
2,-1 -> 25 -> 27 -> 23 -> 35 -> 6 -> 24 -> 30 -> 11 -> 13 -> 39 -> 7 -> 36 -> -2,63.28,5.65
4,-1 -> 16 -> 15 -> 17 -> 2 -> 4 -> 5 -> 10 -> 38 -> 9 -> -2,66.73,7.2
5,-1 -> 37 -> -2,1.21,0.03
6,-1 -> 32 -> 21 -> 22 -> 33 -> 8 -> 34 -> 19 -> 14 -> 29 -> 18 -> 40 -> 28 -> -2,74.09,6.88
