vehicle_id,from_node,to_node,travel_time_min
1,-1,28,3.4600721860375074
1,1,16,5.251117140865375
1,7,22,7.437795531338693
1,8,21,2.0688677812289
1,10,29,3.3489023343705635
1,12,36,7.303659171594601
1,14,37,8.185222499501654
1,16,32,14.083937422722837
1,18,14,4.464595611608958
1,21,31,3.951506027624752
1,22,34,6.449136989224742
1,25,-2,6.431874313799227
1,28,40,4.379867793136151
1,29,25,2.926329333038362
1,31,33,6.098905354434745
1,32,8,8.661949857578827
1,33,10,9.520648353049795
1,34,12,2.372049818786167
1,36,1,8.839415292854937
1,37,7,6.696859539138116
1,40,18,2.8927686202188747
4,-1,39,5.381373349242574
4,2,20,3.781089795238667
4,3,17,9.958951441626088
4,4,23,16.769308104413987
4,15,38,2.2741095807593377
4,17,15,8.708065758478568
4,20,26,2.673731082923851
4,23,-2,7.18489351845109
4,26,3,3.440523387309787
4,38,4,6.673653733652866
4,39,2,1.2431104194264704
6,-1,27,11.801915494797958
6,6,35,3.124681758675627
6,11,-2,13.524408260727398
6,19,6,2.605032020323689
6,27,19,6.274226245094371
6,35,11,8.280914542326112
8,-1,13,11.238682765102483
8,5,30,13.092656697847408
8,9,5,2.7656320702418964
8,13,9,7.23089703585992
8,24,-2,20.84739179622977
8,30,24,3.629149459019439
