vehicle_id,route,distance_km,travel_time_min
1,-1 -> 28 -> 40 -> 18 -> 14 -> 37 -> 7 -> 22 -> 34 -> 12 -> 36 -> 1 -> 16 -> 32 -> 8 -> 21 -> 31 -> 33 -> 10 -> 29 -> 25 -> -2,92.8,9.23
4,-1 -> 39 -> 2 -> 20 -> 26 -> 3 -> 17 -> 15 -> 38 -> 4 -> 23 -> -2,54.16,5.67
6,-1 -> 27 -> 19 -> 6 -> 35 -> 11 -> -2,35.61,3.52
8,-1 -> 13 -> 9 -> 5 -> 30 -> 24 -> -2,46.56,3.83
