vehicle_id,stop_order,node,load_after_node
1,0,-1,0.0
1,1,28,3.0
1,2,40,4.0
1,3,18,6.0
1,4,14,8.0
1,5,37,10.0
1,6,7,13.0
1,7,22,16.0
1,8,34,18.0
1,9,12,19.0
1,10,36,21.0
1,11,1,24.0
1,12,16,26.0
1,13,32,28.0
1,14,8,31.0
1,15,21,32.0
1,16,31,35.0
1,17,33,38.0
1,18,10,39.0
1,19,29,41.0
1,20,25,43.0
1,21,-2,43.0
4,0,-1,0.0
4,1,39,3.0
4,2,2,5.0
4,3,20,6.0
4,4,26,8.0
4,5,3,10.0
4,6,17,11.0
4,7,15,12.0
4,8,38,14.0
4,9,4,16.0
4,10,23,19.0
4,11,-2,19.0
6,0,-1,0.0
6,1,27,3.0
6,2,19,5.0
6,3,6,6.0
6,4,35,8.0
6,5,11,11.0
6,6,-2,11.0
8,0,-1,0.0
8,1,13,3.0
8,2,9,6.0
8,3,5,8.0
8,4,30,9.0
8,5,24,10.0
8,6,-2,10.0
