vehicle_id,route,distance_km,travel_time_min
2,-1 -> 37 -> 39 -> 7 -> 36 -> 22 -> 18 -> -2,29.75,2.82
3,-1 -> 28 -> 23 -> 14 -> 35 -> 19 -> 6 -> 27 -> 9 -> 16 -> 20 -> 40 -> 12 -> 29 -> -2,48.32,5.33
4,-1 -> 10 -> 5 -> 38 -> 15 -> 1 -> 31 -> 3 -> 34 -> 4 -> 17 -> -2,45.71,5.13
5,-1 -> 32 -> 21 -> 8 -> 33 -> 30 -> 24 -> 25 -> 26 -> 13 -> 11 -> 2 -> -2,79.74,7.27
