vehicle_id,route,distance_km,travel_time_min
1,-1 -> 4 -> 17 -> 1 -> 32 -> 33 -> 31 -> 3 -> 2 -> 29 -> 7 -> 37 -> 25 -> 28 -> 15 -> 38 -> -2,78.21,8.73
2,-1 -> 39 -> 18 -> 20 -> 27 -> 30 -> 13 -> 24 -> 6 -> 11 -> 26 -> 40 -> 16 -> 21 -> -2,90.3,8.97
3,-1 -> 14 -> 23 -> 22 -> 9 -> 8 -> 35 -> 34 -> 10 -> 12 -> 5 -> 36 -> 19 -> -2,99.61,10.32
