vehicle_id,stop_order,node
1,0,-1
1,1,12
1,2,26
1,3,3
1,4,1
1,5,31
1,6,20
1,7,-2
2,0,-1
2,1,25
2,2,27
2,3,23
2,4,35
2,5,6
2,6,24
2,7,30
2,8,11
2,9,13
2,10,39
2,11,7
2,12,36
2,13,-2
4,0,-1
4,1,16
4,2,15
4,3,17
4,4,2
4,5,4
4,6,5
4,7,10
4,8,38
4,9,9
4,10,-2
5,0,-1
5,1,37
5,2,-2
6,0,-1
6,1,32
6,2,21
6,3,22
6,4,33
6,5,8
6,6,34
6,7,19
6,8,14
6,9,29
6,10,18
6,11,40
6,12,28
6,13,-2
