vehicle_id,from_node,to_node,travel_time_min
1,-1,12,5.493342383769536
1,1,31,0.824865134774808
1,3,1,3.059903078923217
1,12,26,2.007065702529066
1,20,-2,9.443549443216217
1,26,3,3.440523387309787
1,31,20,5.222375156305322
2,-1,25,5.733164579428871
2,6,24,11.01365748905748
2,7,36,4.624927278840798
2,11,13,4.072991363693073
2,13,39,7.899632448158362
2,23,35,3.539352620702849
2,24,30,3.62914945901944
2,25,27,7.55907328026605
2,27,23,5.205570882909086
2,30,11,7.555268962796716
2,35,6,3.078953152336566
2,36,-2,10.54710713068638
2,39,7,8.624796826112513
4,-1,16,11.303668089899071
4,2,4,12.513080587747895
4,4,5,7.510976317207445
4,5,10,5.816156391450852
4,9,-2,13.384619881309426
4,10,38,4.190736804548762
4,15,17,8.167890349210028
4,16,15,3.919549323780197
4,17,2,14.752285618155527
4,38,9,4.108184537199559
5,-1,37,1.2135965028182354
5,37,-2,1.2135965028182354
6,-1,32,16.790306280989512
6,8,34,7.1192505404053605
6,14,29,7.892115636652707
6,18,40,2.9002374626121923
6,19,14,3.1978771093041973
6,21,22,7.636176206598004
6,22,33,11.657411312007438
6,28,-2,4.01202723682719
6,29,18,6.733984470347272
6,32,21,9.007115225582275
6,33,8,5.128796479681075
6,34,19,11.071189435750844
6,40,28,4.304498451241887
