vehicle_id,start_time,end_time,total_route_duration
1,0.0,600.0,600.0
2,0.0,600.0,600.0
3,0.0,600.0,600.0
4,0.0,600.0,600.0
5,0.0,600.0,600.0
6,0.0,600.0,600.0
7,0.0,600.0,600.0
8,0.0,600.0,600.0
