vehicle_id,lab_node_id,visit_time,ready_time,due_time,service_time,max_transport_time,delivery_time,transport_time,slack
1,1,569.50921,0,600,5,800,600.0,25.490789999999947,774.50921
1,3,561.44931,3,600,5,800,600.0,33.55069000000003,766.44931
1,12,546.00172,4,600,5,800,600.0,48.99828000000002,751.00172
1,20,585.55645,0,600,5,800,600.0,9.44354999999996,790.55645
1,26,553.00878,3,600,5,800,600.0,41.99122,758.00878
1,31,575.33408,0,600,5,800,600.0,19.66592000000003,780.33408
2,6,502.03247,1,600,5,800,600.0,92.96753000000001,707.03247
2,7,574.82797,0,600,5,800,600.0,20.17202999999995,779.82797
2,11,539.23054,4,600,5,800,600.0,55.76945999999998,744.23054
2,13,548.30354,4,600,5,800,600.0,46.69646,753.30354
2,23,485.41416,4,600,5,800,600.0,109.58584000000002,690.41416
2,24,518.04613,1,600,5,800,600.0,76.95387000000005,723.04613
2,25,462.64952,0,600,5,800,600.0,132.35048,667.6495199999999
2,27,475.20859,2,600,5,800,600.0,119.79140999999998,680.20859
2,30,526.67528,4,600,5,800,600.0,68.32471999999996,731.67528
2,35,493.95352,3,600,5,800,600.0,101.04647999999997,698.95352
2,36,584.45289,3,600,5,800,600.0,10.547109999999975,789.45289
2,39,561.20317,0,600,5,800,600.0,33.79683,766.20317
4,2,522.47625,4,600,5,800,600.0,72.52374999999995,727.47625
4,4,539.98933,1,600,5,800,600.0,55.010670000000005,744.98933
4,5,552.5003,0,600,5,800,600.0,42.49969999999996,757.5003
4,9,581.61538,4,600,5,800,600.0,13.38462000000004,786.61538
4,10,563.31646,3,600,5,800,600.0,31.683539999999994,768.31646
4,15,489.55607,2,600,5,800,600.0,105.44393000000002,694.55607
4,16,480.63652,1,600,5,800,600.0,114.36347999999998,685.63652
4,17,502.72396,2,600,5,800,600.0,92.27604000000002,707.72396
4,38,572.5072,3,600,5,800,600.0,22.49279999999999,777.5072
5,37,593.7864,1,600,5,800,600.0,1.2136000000000422,798.7864
6,8,512.76882,3,600,5,800,600.0,82.23118,717.76882
6,14,549.15714,0,600,5,800,600.0,45.84285999999997,754.15714
6,18,573.78324,1,600,5,800,600.0,21.216760000000022,778.78324
6,19,540.95926,2,600,5,800,600.0,54.04074000000003,745.95926
6,21,473.34644,0,600,5,800,600.0,121.65356000000003,678.34644
6,22,485.98261,4,600,5,800,600.0,109.01738999999998,690.98261
6,28,590.98797,4,600,5,800,600.0,4.0120299999999816,795.98797
6,29,562.04925,4,600,5,800,600.0,32.95074999999997,767.04925
6,32,459.33932,2,600,5,800,600.0,135.66068,664.33932
6,33,502.64002,0,600,5,800,600.0,92.35998000000001,707.64002
6,34,524.88807,2,600,5,800,600.0,70.11193000000003,729.88807
6,40,581.68347,1,600,5,800,600.0,13.316529999999943,786.68347
