vehicle_id,route,distance_km,travel_time_min
1,-1 -> 2 -> 26 -> 16 -> 9 -> 5 -> 15 -> 31 -> 1 -> 10 -> 12 -> -2,25.01,3.2
2,-1 -> 17 -> 4 -> 29 -> 20 -> 3 -> 38 -> 34 -> 36 -> 22 -> 21 -> 33 -> 32 -> 8 -> 7 -> 28 -> 39 -> 25 -> -2,84.03,8.2
3,-1 -> 40 -> 14 -> 19 -> 35 -> 6 -> 13 -> 30 -> 24 -> 11 -> 27 -> 23 -> 18 -> 37 -> -2,50.72,5.2
