vehicle_id,from_node,to_node,travel_time_min
1,-1,2,4.419420370893774
1,1,10,1.876960698830497
1,2,26,1.8139354878379077
1,5,15,3.98874003764727
1,9,5,2.7656320702418964
1,10,12,1.793417946738309
1,12,-2,6.535242323525032
1,15,31,2.6636570913301783
1,16,9,2.704241139502761
1,26,16,5.673349161334259
1,31,1,0.6598068582698738
2,-1,17,17.026880520699482
2,3,38,2.1018250218705794
2,4,29,12.040416645086513
2,7,28,7.178839004025784
2,8,7,10.874981275131471
2,17,4,2.497098111471571
2,20,3,3.605198693534504
2,21,33,3.724762730822863
2,22,21,8.087125194816322
2,25,-2,6.431874313799227
2,28,39,2.8978621689582518
2,29,20,3.61287719979462
2,32,8,8.661949857578827
2,33,32,3.7220382912983214
2,34,36,5.744345113163306
2,36,22,5.068359288432601
2,38,34,5.278043895405591
2,39,25,0.5557114673440343
3,-1,40,6.945316749145254
3,6,13,3.640331883346632
3,11,27,2.9060407164575173
3,13,30,8.33480624251274
3,14,19,3.186217017375812
3,18,37,4.095572781550347
3,19,35,1.767313802307552
3,23,18,6.534346082978234
3,24,11,10.150614975583654
3,27,23,5.205570882909086
3,30,24,3.629149459019439
3,35,6,3.078953152336566
3,37,-2,1.2135965028182354
3,40,14,6.876682779107237
