,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.0,5965.053013257751,3203.5632788098173,6427.632993597427,12508.882190362965,8347.911906754314,7697.728584387945,6091.080056084415,9151.681220825029,9169.770299144922,4974.869512493287,10684.36508811754,3881.42613017381,8978.219659597276,6329.62503388299,7413.352476299028,8313.316549820778,13672.76121388771,4367.16853778962,7876.99415358169,6078.155182821104,7601.209236005711,6926.0211638472265,5915.498878450405,16274.31132721748,4141.298269475491,4471.231805276802,8744.285084725556,2045.4635495099199,3493.542138412951,14158.847052404817,6437.82418776677,13394.58266030187,10411.600853285523,4958.308801922897,7518.26357115306,6958.221679924887,606.7982514091177,7418.684404555184,3887.2433630863493,4446.984460891287
1,6722.986639967719,0.0,4179.53794261277,2147.694136742297,6858.306789342014,4067.973049899187,7584.677680998791,6942.166410148654,4366.990988991868,5173.381879526271,1405.3098271087526,8144.646877425613,2360.2736801630053,7589.15700453897,9290.59208327375,2062.03154991103,4033.3776929656506,8022.185812866758,7864.735610918016,9443.444550761971,3829.6715894565154,2874.4185784233223,6054.730881833613,7481.949275630687,15034.246975002932,4654.458364843363,3241.47976240621,6149.200196467716,5270.409577952073,3574.36794637026,12870.12382032694,687.38761231234,7861.181980750691,4878.200173734344,2305.0386114733496,9084.713968333343,6797.71378977072,6116.188388558601,2687.7456892247183,4547.141601228653,8075.08749539636
2,3708.8857303104533,4238.680233381717,0.0,4001.6920177547368,10740.22798571908,5879.621847846803,5560.89022221403,5945.410879763449,8408.080797432687,6214.27309977438,3173.9760945300764,7657.749566759103,2142.6585888215836,6671.934848806993,5436.658470405631,5644.698271655146,5845.026490913266,11904.107009243826,3996.687733657738,5740.155791407774,3051.539661462672,6915.508386864141,6714.762622317333,3778.6605162764904,14117.024819270957,975.8888689817882,1458.8813682193802,5717.669563367122,1402.361700691795,928.9478404332947,11952.901664594965,4711.451407890734,11902.27178919151,8919.289982175165,3637.641084310673,5381.425208979144,6812.552503603921,3102.0874789013355,5499.106948837556,775.8317449806436,4816.651863622189
3,6918.709215828412,2168.727772547264,3970.415073812675,0.0,6944.624481341112,1920.278913156889,6328.814505662196,7957.975343142135,6535.71876153913,3064.509153807144,2400.464991791035,6348.94725334383,2517.148207718534,6137.619677601663,8499.525685136052,2117.5312492449916,1885.6835562233525,8108.5035048658565,7918.41585577011,8296.65142418198,2573.808414119922,5043.1463509705845,7275.970593900537,6690.882877492989,13582.709648065627,3863.3919667056653,2548.819919754499,4353.500572385933,5372.776774504469,3731.242473925789,11418.586493389636,1998.8378360154113,10001.74642856161,7018.764621545263,3526.2783235402735,8201.834408913375,8018.953501837644,6311.910964419294,1661.900958344415,4052.641509043867,8270.810071257054
4,13267.3300170289,6914.453395505421,10685.033271368786,7042.464519149313,0.0,6367.587496569028,13371.279024811509,13682.83516280942,8465.616638844074,8067.8428745612355,8145.978579769519,12747.089602683036,8865.769008919022,12536.317250481488,15488.727012386353,5860.827158454128,6332.992139635491,1799.0341763809733,14370.230939674037,15339.115943331291,9616.272933269236,8321.660378156595,12795.399634494384,13680.084204743287,19981.407220945457,10852.59329395596,9538.021247004794,11395.96509153525,11775.904906708092,10079.863275126276,17817.284066269465,6721.309778797004,9166.64955851971,7301.932424610882,9045.707364134118,15244.298928062688,13490.703515309595,12660.531765619782,6230.151535405788,11041.842836294161,14619.430872457533
5,8838.988128985302,4089.006685704153,5879.348223304565,1920.2789131568888,6276.885326915102,0.0,7510.539913136871,9878.254256299026,8455.99767469602,1769.44609185928,4320.7439049479235,6448.69281998108,4437.4271208754235,6237.920467779535,10408.458834627942,2944.5708041091084,34.59535693353664,7440.7643504398475,9827.349005262002,9478.376831656655,4463.5999061500215,6963.425264127474,9196.249507057426,8599.816026984878,13683.010438243498,5772.325116197554,4457.753069246391,5440.969021467711,7281.709923996359,5651.521387082679,11518.887283567507,3705.6563494476977,10404.542413331988,8323.78237818542,5446.557236697162,9383.559816388051,9939.232414994536,8232.189877576184,1523.6676431270323,5961.574658535756,10191.088984413936
6,8148.497552539164,7656.807189390155,5676.615272617832,6327.451913635083,13268.510089759031,7742.478541926724,0.0,10893.865383786631,11826.20775344113,6849.619276534667,6592.103050538513,4093.664164111088,6364.808819605114,2641.0388108096863,4368.965959823343,8441.416857662913,7707.883184993187,14432.389113283776,7402.172515253242,2098.9969314788073,4056.8726157612396,10333.635342872582,11413.929471991458,2710.0648924317293,8576.582742829529,5008.890794126085,5194.164779349585,3762.5869835748263,5602.360817526065,6441.667809066747,6461.118468016868,7893.225362447307,15320.398745199955,12337.416938183607,7717.916382287752,2004.1799162102009,11761.007007627104,7541.699301130046,7947.003788914674,5265.559551021888,9015.776208531532
7,6926.8274894436,6976.140430464439,6056.58690823368,8162.910941090023,13519.969607569648,10083.189854246915,10929.597479459806,0.0,8821.938013404457,10929.123748841952,5985.956929699976,12651.56735949866,5523.086754639898,11665.752641546545,9380.81066842933,8424.439893505718,10048.59449731338,14683.848631094394,6234.684827921162,11108.863048653555,8045.3574542022225,7271.466028585139,5711.08040939842,9147.367773522268,19110.842612010514,6994.321898899353,6438.434076657921,10711.487356106678,5868.069091453971,5860.449619376293,16946.719457334522,7448.911604973457,13064.839452881299,10081.857645864953,5969.396219129586,10750.132466224926,2747.483319879842,6320.029238034483,8799.551675669747,6740.266992510211,4226.147752918392
8,9924.753198896757,4418.913171318584,8552.389899103944,6566.6073080608785,8220.535719831103,8332.043898940232,12003.590852317371,8883.362874615894,0.0,9592.295050844848,5778.16178359993,12563.560048744193,6733.125636654182,12008.070175857554,13023.555157494899,6201.294498609069,8297.448542006696,9384.414743355848,11197.038131223728,13816.296507253153,8248.584760775098,1668.6953133973057,7524.175443636955,11854.801232121867,19453.160146321523,9027.31032133454,7614.331718897385,10568.113367786298,8865.994800907129,7947.219902861438,17289.03699164553,4697.991117061429,5630.277050259518,2647.2952432431703,5804.072171938914,13457.565924824525,7753.854020504197,9317.954947487638,6886.263192369531,8919.99355771983,11118.818938692973
9,9383.751545515413,4884.130608741779,5896.185846499849,2754.224247217686,7970.778114354236,1763.0835013062072,6602.971396661069,10423.017672829137,9251.121597733647,0.0,4865.507321478035,5541.124303505278,4982.190537405535,5330.351951303733,10409.620968858315,4003.008878356594,1728.4881443726706,9134.657137878981,9844.186628457284,8570.808315180853,4401.752035674192,7758.549187165101,9741.012923587536,8257.694133876252,12775.441921767695,5773.487250427926,4476.839609986409,4533.400504991909,7298.5475471916425,6065.860446575785,10611.318767091703,4714.2406722099295,12098.435200771119,9685.64492435974,5991.320653227273,8475.991299912248,10483.995831524646,8776.953294106295,2582.105717374518,5978.412281731039,10712.837710122032
