vehicle_id,route,distance_km,travel_time_min
1,-1 -> 37 -> 14 -> 35 -> 19 -> 6 -> 23 -> 27 -> 13 -> 16 -> 9 -> 5 -> 3 -> 15 -> 38 -> 32 -> 33 -> 8 -> 21 -> -2,63.8,6.72
2,-1 -> 7 -> 36 -> 20 -> 26 -> 22 -> -2,33.94,3.28
3,-1 -> 18 -> 40 -> 11 -> 30 -> 24 -> 28 -> 2 -> 39 -> 25 -> 34 -> 12 -> 29 -> 1 -> 31 -> 10 -> 4 -> 17 -> -2,81.84,8.45
