vehicle_id,route,distance_km,travel_time_min
1,-1 -> 24 -> 30 -> 14 -> 19 -> 6 -> 35 -> 13 -> 27 -> 11 -> 39 -> 28 -> 23 -> 40 -> 18 -> 37 -> -2,71.96,6.98
2,-1 -> 7 -> 36 -> 22 -> 33 -> 32 -> 8 -> 21 -> 1 -> 34 -> 10 -> 12 -> 25 -> 29 -> 15 -> 31 -> 3 -> 9 -> 5 -> 16 -> 17 -> 4 -> 38 -> 20 -> 26 -> 2 -> -2,80.85,9.08
