vehicle_id,route,distance_km,travel_time_min
1,-1 -> 13 -> 27 -> 11 -> 30 -> 24 -> 33 -> 32 -> 9 -> 5 -> 1 -> 29 -> 28 -> 23 -> 14 -> 6 -> 35 -> 19 -> -2,91.11,9.13
2,-1 -> 10 -> 40 -> 18 -> 8 -> 17 -> 38 -> 3 -> 15 -> 4 -> 16 -> 21 -> 31 -> 12 -> 34 -> 22 -> 36 -> 7 -> 37 -> 39 -> 2 -> 25 -> 26 -> 20 -> -2,102.35,10.92
