vehicle_id,route,distance_km,travel_time_min
1,-1 -> 20 -> 3 -> 11 -> 24 -> 9 -> 16 -> 5 -> 12 -> 2 -> 25 -> -2,48.55,62.67
2,-1 -> 8 -> 21 -> 4 -> 17 -> 10 -> 15 -> 6 -> 13 -> 14 -> 18 -> 23 -> 19 -> -2,69.6,87.84
3,-1 -> 1 -> 22 -> 7 -> -2,20.6,28.24
